ticker,alias,alias_type
0006,pineapple resources,name
000600,CNE000000FT5,isin
000601,CNE0000009H8,isin
000601,guangdong shaoneng,name
000603,CNE000000H04,isin
000603,shengda mining,name
000605,CNE000000LX5,isin
000605,bohai water industry,name
000607,CNE000000D65,isin
000607,huamei,name
000608,CNE000000982,isin
000608,yang guang,name
000609,CNE0000007Z4,isin
000609,beijing mainstreets investment,name
000610,CNE000000D73,isin
000610,xian tourism,name
000612,CNE000000826,isin
000612,jiaozuo wanfang aluminum,name
000615,CNE0000007D1,isin
000615,aoyuan beauty valley technology,name
000617,CNE000000MS3,isin
000617,cnpc capital,name
000619,CNE000000MR5,isin
000619,wuhu conch profiles and science,name
000620,CNE000000958,isin
000620,macrolink real estate,name
000623,CNE000000719,isin
000623,jilin aodong pharmaceutical,name
000625,CNE000000R36,isin
000625,chongqing changan automobile,name
000626,CNE000000H12,isin
000626,grand industrial,name
000628,CNE0000005X3,isin
000628,chengdu hi-tech development,name
000629,CNE0000007H2,isin
000630,CNE000000529,isin
000630,tongling nonferrous metals,name
000631,CNE000000990,isin
000631,shunfa hengye,name
000632,CNE000000685,isin
000632,fujian sanmu,name
000633,CNE000000081,isin
000633,xinjiang hejin,name
000635,CNE000000N71,isin
000635,ningxia younglight chemicals,name
000636,CNE000000GH8,isin
000636,guangdong fenghua advanced technology,name
000637,CNE0000000M7,isin
000637,maoming petro-chemical shihua,name
000638,CNE0000008Y5,isin
000638,vanfund urban investment & development,name
000639,CNE000000008,isin
000639,xiwang foodstuffs,name
000640,KR7000640003,isin
000640,dong-a socio,name
000640,donga socio,name
000651,CNE0000001D4,isin
000652,CNE0000005D5,isin
000652,tianjin economic-technological development area,name
000655,CNE000000131,isin
000655,shandong jinling mining,name
000656,CNE000000073,isin
000656,jinke property,name
000657,CNE0000006M4,isin
000657,china tungsten and hightech materials,name
000659,CNE0000000C8,isin
000659,zhuhai zhongfu enterpri,name
000660,KR7000660001,isin
000660,sk hynix,name
000660,sk hynix kr,name
000661,CNE0000007J8,isin
000663,CNE000000CS4,isin
000663,fujian yongan forestry group joint-stock,name
000665,CNE0000000W6,isin
000668,CNE0000000Q8,isin
000668,rongfeng,name
000669,CNE000000693,isin
000669,petrochina jinhong energy investment,name
000670,KR7000670000,isin
000670,youngpoong,name
000672,CNE0000004Q0,isin
000672,gansu shangfeng cement,name
000676,CNE000000NN2,isin
000676,genimous technology,name
000677,CNE0000000J3,isin
000677,chtc helon,name
000678,CNE0000008Z2,isin
000678,xiangyang automobile bearing,name
000679,CNE0000008C1,isin
000679,dalian friendship,name
000681,CNE000000BW8,isin
000681,visual china,name
000682,CNE0000006P7,isin
000682,dongfang electronics,name
000683,CNE000000P20,isin
000683,inner mongolia yuan xing energy,name
000685,CNE0000006B7,isin
000685,zhongshan public utilities,name
000686,CNE0000004H9,isin
000686,northeast securities,name
000688,CNE0000003F5,isin
000688,guocheng mining,name
000690,CNE000000P12,isin
000690,guangdong baolihua new energy stock,name
000691,CNE000000628,isin
000691,gansu yatai industrial development,name
000692,CNE0000007K6,isin
000692,shenyang huitian thermal power,name
000695,CNE0000005C7,isin
000695,tianjin binhai energy & development,name
000697,CNE000000800,isin
000697,shaanxi ligeance mineral resources,name
000698,CNE0000002H3,isin
000698,shenyang chemical industry,name
0007,MYQ0007OO003,isin
0007,puc,name
000701,CNE0000005Y1,isin
000701,xiamen xinde,name
000702,CNE000000P95,isin
000703,CNE0000001J1,isin
000703,hengyi petrochemical,name
000705,CNE0000007L4,isin
000705,zhejiang zhenyuan share,name
000707,CNE0000007M2,isin
000708,CNE0000008J6,isin
000708,citic pacific special steel,name
000709,CNE000000H20,isin
000709,hbis,name
000710,CNE000000PN7,isin
000710,berry genomics,name
000711,CNE0000006Q5,isin
000711,heilongjiang kingland technology,name
000712,CNE000000PJ5,isin
000712,guangdong golden dragon development,name
000713,CNE000000PQ0,isin
000713,hefei fengle seed,name
000715,CNE000000PS6,isin
000715,zhongxing shenyang commercial building,name
000716,CNE000000909,isin
000716,nanfang black sesame,name
000717,CNE000000PW8,isin
000717,sgis songshan,name
000718,CNE0000007N0,isin
000718,suning universal,name
000719,CNE0000000X4,isin
000719,central china land media,name
000721,CNE000000D81,isin
000721,xian catering,name
000722,CNE0000009J4,isin
000722,hunan fazhan industrial,name
000723,CNE0000005J2,isin
000723,shanxi meijin energy,name
000726,CNE000001667,isin
000726,lu thai textile,name
000727,CNE0000002J9,isin
000727,tpv technology,name
000728,CNE000000QZ9,isin
000728,guoyuan securities,name
000729,CNE000000S84,isin
000729,beijing yanjing brewery,name
000731,CNE000000FV1,isin
000731,sichuan meifeng chemical industry,name
000733,CNE000000RY0,isin
000735,CNE000000CR6,isin
000735,luoniushan,name
000736,CNE000000727,isin
000736,cccg real estate corp,name
000737,CNE000000PR8,isin
000737,north copper shanxi,name
000738,CNE000000RM5,isin
000738,aecc aero engine control,name
000739,CNE000000Q45,isin
000739,apeloa pharmaceutical,name
000750,CNE0000008K4,isin
000750,sealand securities,name
000751,CNE0000004X6,isin
000751,huludao zinc industry,name
000752,CNE000000RJ1,isin
000753,CNE000000RR4,isin
000753,fujian zhangzhou development,name
000755,CNE000000S43,isin
000755,shanxi sanwei,name
000756,CNE000000BG1,isin
000756,shandong xinhua pharmaceutical,name
000757,CNE000000RV6,isin
000757,sichuan haowu electromechanical,name
000758,CNE000000PK3,isin
000759,CNE000000180,isin
000759,zhongbai,name
000760,KR7000760009,isin
000760,rifa ind,name
000761,CNE000000TX8,isin
000761,bengang steel plates,name
000762,CNE000000S27,isin
000762,tibet mineral development,name
000766,CNE000000735,isin
000766,tonghua golden-horse pharmaceutical industry,name
000767,CNE000000776,isin
000767,shanxi zhangze electric power,name
000768,CNE000000RF9,isin
000768,avic aircraft,name
000776,CNE0000008L2,isin
000776,gf securities,name
000777,CNE000000RW4,isin
000778,CNE000000QG9,isin
000778,xinxing ductile iron pipes,name
000779,CNE000000QL9,isin
000779,gansu engineering consulting,name
000782,CNE0000002K7,isin
000782,guangdong xinhui meida nylon,name
000783,CNE000000SH3,isin
000783,changjiang securities,name
000785,CNE0000001N3,isin
000785,easyhome new retail,name
000786,CNE000000QS4,isin
000788,CNE0000008M0,isin
000788,pku healthcare corp,name
000789,CNE000000SZ5,isin
000789,jiangxi wannianqing cement,name
000790,CNE0000001H5,isin
000790,chengdu huasun group inc,name
000791,CNE000000T42,isin
000791,gepic energy development,name
000792,CNE000000SW2,isin
000792,qinghai salt lake industry,name
000793,CNE0000002L5,isin
000793,huawen media investment,name
000795,CNE000000SL5,isin
000795,innuovo technology co ltd,name
000796,CNE000000S50,isin
000796,hna-caissa travel,name
000797,CNE000000SD2,isin
000797,china wuyi,name
000798,CNE000000V30,isin
000798,cnfc overseas fishery,name
000799,CNE000000S92,isin
000799,jiugui liquor,name
0007F0,0007f0,name
0007G0,0007g0,name
0007N0,0007n0,name
0008,MYQ0008OO001,isin
0008,willowglen msc,name
000800,CNE000000R85,isin
000800,faw car,name
000801,CNE0000000B0,isin
000801,sichuan jiuzhou electronic,name
000802,CNE000000TW0,isin
000802,beijing jingxi culture&tourism,name
000803,CNE0000000G9,isin
000803,bece legend,name
000807,CNE000000VG9,isin
000807,yunnan aluminium,name
000809,CNE0000000Z9,isin
000809,tieling newcity investment,name
000811,CNE0000000S4,isin
000811,yantai moon,name
000812,CNE0000006R3,isin
000813,CNE000000VV8,isin
000813,dezhan healthcare,name
000816,CNE000000SR2,isin
000816,jiangsu jianghuai engine,name
000818,CNE000000T67,isin
000818,hangjin technology,name
000819,CNE0000006C5,isin
000819,yueyang xingchang petro-chemical,name
000820,CNE0000007Q3,isin
000820,shenwu energy saving,name
000821,CNE000000743,isin
000821,j.s. corrugating machinery,name
000822,CNE000000WH5,isin
000822,shandong haihua,name
000823,CNE000000T26,isin
000823,guangdong goworld,name
000825,CNE000000WM5,isin
000825,shanxi taigang stainless steel,name
000826,CNE000000BX6,isin
000826,tus-sound environmental resources,name
000828,CNE000000R02,isin
000828,dongguan development,name
000829,CNE000000TM1,isin
000829,telling telecommunication,name
000830,CNE000000WN3,isin
000830,luxi chemical,name
000831,CNE000000WS2,isin
000831,china minmetals rare earth,name
000833,CNE000000XC4,isin
000833,guangxi guitang,name
000837,CNE000000WX2,isin
000838,CNE0000007R1,isin
000838,casin real estate development,name
000839,CNE000000TD0,isin
000839,citic guoan information industry,name
000848,CNE000000TG3,isin
000848,he bei cheng de lolo,name
000852,CNE000000XK7,isin
000852,sinopec oilfield equipment,name
000856,CNE000000WJ1,isin
000856,tangshan jidong equipment engineering,name
000858,CNE000000VQ8,isin
000858,wuliangye yibin,name
000859,CNE000000XF7,isin
000859,anhui guofeng plastic industry,name
000862,CNE000000WZ7,isin
000862,ning xia yin xing energy,name
000863,CNE000000T00,isin
000863,sanxiang,name
000868,CNE000000SG5,isin
000868,anhui ankai automobile,name
000869,CNE000001568,isin
000869,yantai changyu pioneer wine,name
000875,CNE000001CR4,isin
000875,jilin power share,name
000876,CNE000000VB0,isin
000876,new hope liuhe,name
000877,CNE000000XV4,isin
000877,xinjiang tianshan cement,name
000878,CNE000000W13,isin
000878,yunnan copper,name
000881,CNE000000842,isin
000881,cgn nuclear technology development,name
000882,CNE000000W70,isin
000882,beijing hualian department store,name
000883,CNE000000750,isin
000883,hubei energy,name
000885,CNE000000Y45,isin
000885,city development environment,name
000886,CNE000000V48,isin
000886,hainan expressway,name
000887,CNE000000XP6,isin
000887,anhui zhongding sealing parts,name
000888,CNE000000T91,isin
000888,emei shan tourism,name
000889,CNE000000TT6,isin
000889,zjbc information technology,name
000892,CNE000000XX0,isin
000892,h&r century union,name
000893,CNE000000XS0,isin
000893,asia potash international investment guangzhou,name
000895,CNE000000XM3,isin
000895,henan shuanghui investment & development,name
000897,CNE000000Y60,isin
000897,tianjin jinbin development,name
000898,CNE000000SQ4,isin
000898,angang steel co ltd,name
000899,CNE000000TP4,isin
000899,jiangxi ganneng,name
0008E0,0008e0,name
0008S0,0008s0,name
0008T0,0008t0,name
000900,CNE000000925,isin
000900,xiandai investment,name
000901,CNE000000Y86,isin
000901,aerospace hi-tech,name
000902,CNE000000YG3,isin
000902,hubei xinyangfeng fertilizer,name
000903,CNE000000YJ7,isin
000903,kunming yunnei power,name
000905,CNE000000YL3,isin
000905,xiamen port development,name
000906,CNE000000YS8,isin
000906,zheshang development,name
000908,CNE000000Y11,isin
000908,hunan jingfeng pharmaceutical,name
000909,CNE000000YN9,isin
000909,soyea technology,name
000911,CNE000000YX8,isin
000911,nanning sugar industry,name
000912,CNE000000Z02,isin
000912,sichuan lutianhua,name
000913,CNE000000YQ2,isin
000913,zhejiang qianjiang motorcycle,name
000915,CNE000000Z28,isin
000917,CNE000000YB4,isin
000917,hunan tv & broadcast intermediary,name
000919,CNE0000010W5,isin
000919,jinling pharmaceutical,name
000920,CNE000000Z51,isin
000920,vontron technology,name
000921,CNE000000LC9,isin
000921,hisense kelon electrical,name
000922,CNE0000007V3,isin
000923,CNE000000ZK2,isin
000923,hbis resources,name
000925,CNE000000Z93,isin
000925,unittec,name
000926,CNE000000ZG0,isin
000926,hubei fuxing science and technology,name
000927,CNE000000ZV9,isin
000927,china railway materials,name
000928,CNE0000007W1,isin
000928,sinosteel engineering and technology,name
000929,CNE000000ZD7,isin
000929,lanzhou huanghe enterpri,name
000930,CNE000000ZR7,isin
000930,cofco biochemical anhui,name
000931,CNE000001030,isin
000931,beijing centergate technologies,name
000932,CNE000001006,isin
000932,hunan valin steel,name
000933,CNE000001097,isin
000933,henan shenhuo coal & power,name
000935,CNE000001048,isin
000935,sichuan shuangma cement,name
000936,CNE000001063,isin
000936,jiangsu huaxicun,name
000937,CNE0000010H6,isin
000937,jizhong energy resources,name
000938,CNE0000010T1,isin
000938,unisplendour corp,name
000948,CNE0000010M6,isin
000948,yunnan nantian electronics information,name
000949,CNE0000010N4,isin
000949,xinxiang chemical fiber,name
000950,KR7000950006,isin
000950,chonbang,name
000951,CNE0000010Y1,isin
000951,sinotruk jinan truck,name
000952,CNE0000010R5,isin
000952,hubei guangji pharmaceutical,name
000953,CNE000001105,isin
000953,guangxi hechi chemical,name
000955,CNE000001121,isin
000955,xinlong,name
000957,CNE000001188,isin
000957,zhongtong bus,name
000958,CNE000001154,isin
000958,spic dongfang new energy,name
000959,CNE000001196,isin
000959,beijing shougang,name
000960,CNE0000011D3,isin
000960,yunnan tin,name
000962,CNE0000011N2,isin
000962,ningxia orient tantalum industry,name
000963,CNE0000011S1,isin
000963,huadong medicine,name
000965,CNE000001212,isin
000965,tianjin tianbao infrastructure,name
000966,CNE0000011X1,isin
000966,chn energy changyuan electric power,name
000967,CNE0000011Z6,isin
000967,infore environment technology,name
000968,CNE0000012V3,isin
000968,shanxi blue flame,name
000969,CNE0000012X9,isin
000969,advanced technology & materials,name
000972,CNE0000012C3,isin
000972,xinjiang chalkis,name
000973,CNE0000012F6,isin
000973,fspg hi-tech,name
000975,CNE0000012L4,isin
000975,yintai resources,name
000977,CNE0000012M2,isin
000977,inspur electronic info industr,name
000978,CNE0000012H2,isin
000978,guilin tourism corp,name
000980,CNE000001337,isin
000980,zotye automobile,name
000981,CNE000001352,isin
000981,yinyi real estate,name
000983,CNE0000013Y5,isin
000985,CNE000001402,isin
000985,daqing huake,name
000987,CNE0000013M0,isin
000987,guangzhou friendship,name
000988,CNE000001303,isin
000988,huagong tech,name
000989,CNE000001394,isin
000989,jiuzhitang,name
000993,CNE000001469,isin
000993,fujian mindong electric power,name
000995,CNE000001477,isin
000995,gansu huangtai wine-marketing industry,name
000997,CNE0000014B1,isin
000997,fujian newland computer,name
000998,CNE000001360,isin
000998,yuan longping high-tech agriculture,name
000999,CNE0000011K8,isin
0010,MYQ0010OO007,isin
0010,iris corporation,name
001000,KR7001000009,isin
001000,silla textile,name
001020,KR7001020007,isin
001020,papercorea,name
001040,KR7001040005,isin
001060,KR7001060003,isin
001060,jw pharmac,name
001060,jw pharmaceutical,name
001065,KR7001061001,isin
001065,jw pharmaceutical,name
001065,jw pharmaceutical corp. pfd,name
001067,KR7001062009,isin
001067,jw pharmaceutical,name
001067,jw pharmaceutical corp. pfd,name
001070,KR7001070002,isin
001070,taihan textile,name
001080,KR7001080001,isin
001080,manho rope&wir,name
0010E0,0010e0,name
0011,MYQ0011OO005,isin
0011,brite tech,name
001120,KR7001120005,isin
001120,lg international,name
001120,lx international,name
001130,KR7001130004,isin
001130,daehan flour mills,name
0012,MYQ0012OO003,isin
0012,three a resources,name
001200,KR7001200005,isin
001200,eugene inv&sec,name
001200,eugene investment & securities,name
001201,CNE100004JW2,isin
001201,dongrui food,name
001202,CNE100004JX0,isin
001202,guangdong jushen logistics,name
001203,CNE100004JY8,isin
001203,inner mongolia dazhong mining,name
001205,CNE100004JZ5,isin
001205,nanjing shenghang shipping,name
001206,CNE100004K03,isin
001206,tianjin yiyi hygiene products,name
001207,CNE100004K11,isin
001207,shandong link science and technology,name
001208,CNE100004K29,isin
001208,hunan valin wire & cable,name
001209,guangdong hongxing industrial,name
001210,KR7001210004,isin
001210,kumho electric,name
001211,CNE100004N18,isin
001211,suncha technology,name
001212,CNE100004N26,isin
001212,sinostone guangdong,name
001213,china railway special cargo logistics,name
001215,CNE100004R48,isin
001215,zhengzhou qianweiyangchu food,name
001216,hunan hualian china industry,name
001217,CNE100004R55,isin
001217,anhui huaertai chemical,name
001218,CNE100004R63,isin
001218,hunan resun,name
001219,CNE100004R71,isin
001219,qingdao foods,name
001226,anhui tuoshan heavy industry,name
001227,bank of lanzhou,name
001228,yongtaiyun chemical logistics,name
001229,guangdong avcit tech hldg,name
001230,KR7001230002,isin
001230,dongkuk steel mill,name
001233,haian rubber grp,name
001234,jiiangsu times textile technology,name
001236,holly futures co. ltd. a,name
001238,zhejiang zhengte,name
001239,xiangtan yongda mach mnfg,name
001250,KR7001250000,isin
001250,gs global,name
001255,zhejiang bofay elec,name
001259,beijing liven technology,name
001260,KR7001260009,isin
001260,nam kwang cons,name
001266,shanghai smart control,name
001267,CNE100004Y72,isin
001267,hui lyu ecological technology groups,name
001268,guangdong yangshan united precision manufacturing,name
001270,KR7001270008,isin
001270,bookook sec,name
001275,KR7001271006,isin
001275,bookook securities,name
001280,china national uranium,name
001282,wuhu sanlian forging,name
001288,CNE100004Y80,isin
001288,sichuan zigong conveying machine,name
001289,US16890R1095,isin
001289,china longyuan power group corporation,name
001290,KR7001290006,isin
001290,sangsangin investment & securities,name
001296,chongqing changjiang river moulding material,name
001300,sportsoul co. ltd. a,name
001308,shenzhen ktc technology,name
001309,shenzhen techwinsemi technology,name
001313,guangdong yuehai feeds,name
001314,emdoor information co. ltd. a,name
001316,zhejiang xiasha precision,name
001317,san yang ma (chongqing) logistics,name
001318,CNE100005CZ7,isin
001318,jiangxi sunshine dairy,name
001319,winstech precision hldg,name
001323,de rucci healthy sleep,name
001326,shenzhen snc opto electn,name
001330,bona film,name
001331,senton energy co. ltd. a,name
001339,jwipc technology,name
001340,KR7001340009,isin
001340,paik kwang ind,name
001358,shaoxing xingxin new material,name
001360,KR7001360007,isin
001360,samsung pharm,name
001360,samsung pharmaceutical,name
001366,boen group co. ltd,name
001373,jiangsu topfly new materials,name
001376,jiangxi bestoo energy,name
001378,guangdong decro film new,name
001379,shandong tengda fasten tech,name
001380,KR7001380005,isin
001380,sg choongbang,name
001382,guangdong xinyaguang cable,name
001387,hefei snowky elec,name
